"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"21/10/2020","27,40","26,58","-2,99","26,47","27,55","262,26M"
"20/10/2020","27,73","27,40","-0,36","27,31","27,90","163,76M"
"19/10/2020","27,56","27,50","0,51","27,32","28,04","145,25M"
"16/10/2020","27,82","27,36","-1,65","27,22","28,02","155,22M"
"15/10/2020","26,89","27,82","2,09","26,52","28,44","294,72M"
"14/10/2020","27,92","27,25","-1,98","27,10","28,12","239,87M"
"13/10/2020","27,33","27,80","2,21","27,31","28,08","171,06M"
"09/10/2020","27,62","27,20","-1,81","27,08","28,35","362,54M"
"08/10/2020","28,00","27,70","-0,11","27,38","28,00","241,17M"
"07/10/2020","28,48","27,73","-2,84","27,69","28,72","235,61M"
"06/10/2020","28,79","28,54","0,28","28,34","29,00","227,09M"
"05/10/2020","28,70","28,46","-0,45","27,84","28,77","286,38M"
"02/10/2020","29,09","28,59","-2,52","28,25","29,22","286,58M"
"01/10/2020","28,36","29,33","3,31","28,23","29,45","282,08M"
"30/09/2020","28,51","28,39","0,07","28,14","28,84","244,04M"
"29/09/2020","27,73","28,37","2,05","27,62","28,46","274,21M"
"28/09/2020","29,43","27,80","-4,27","27,78","29,57","277,07M"
"25/09/2020","28,76","29,04","0,55","28,34","29,24","162,15M"
"24/09/2020","29,00","28,88","0,03","28,71","29,44","208,37M"
"23/09/2020","29,07","28,87","-0,93","27,97","29,38","350,58M"
"22/09/2020","29,37","29,14","-1,19","28,80","29,47","149,56M"
"21/09/2020","28,83","29,49","0,31","28,51","29,88","167,46M"
"18/09/2020","29,90","29,40","-2,36","29,05","30,35","250,42M"
"17/09/2020","30,50","30,11","-2,49","29,96","30,67","160,78M"
"16/09/2020","31,27","30,88","-1,22","30,77","31,38","147,64M"
"15/09/2020","31,30","31,26","0,35","30,62","31,34","122,34M"
"14/09/2020","29,89","31,15","5,63","29,78","31,49","281,32M"
"11/09/2020","30,06","29,49","-2,19","29,26","30,58","161,18M"
"10/09/2020","31,02","30,15","-2,46","29,92","31,33","300,60M"
"09/09/2020","31,31","30,91","-0,19","30,34","31,41","203,05M"
"08/09/2020","30,02","30,97","0,42","30,02","31,46","236,22M"
"04/09/2020","30,95","30,84","-0,06","29,41","31,23","287,30M"
"03/09/2020","32,57","30,86","-5,22","30,51","32,66","340,32M"
"02/09/2020","33,00","32,56","-1,33","32,25","33,13","125,16M"
"01/09/2020","32,50","33,00","2,26","32,37","33,04","257,66M"
"31/08/2020","32,79","32,27","-2,83","32,25","32,99","225,25M"
"28/08/2020","32,49","33,21","2,63","32,13","33,21","205,91M"
"27/08/2020","32,35","32,36","0,75","31,60","32,60","216,31M"
"26/08/2020","32,81","32,12","-2,67","31,76","33,22","285,86M"
"25/08/2020","32,96","33,00","0,61","32,55","33,32","171,75M"
"24/08/2020","33,35","32,80","-0,67","32,55","33,48","203,72M"
